t,rain_inches,station
2026-07-22 23:15:00+00:00,0.0,KACZ
2026-07-22 23:55:00+00:00,0.0,KFBG
2026-07-23 00:15:00+00:00,0.0,KACZ
2026-07-23 00:35:00+00:00,0.0,KACZ
2026-07-23 00:37:00+00:00,0.0,KFBG
2026-07-23 00:55:00+00:00,0.0,KFBG
2026-07-23 01:15:00+00:00,0.0,KACZ
2026-07-23 01:35:00+00:00,0.0,KACZ
2026-07-23 01:49:00+00:00,0.0,KFBG
2026-07-23 01:55:00+00:00,0.0,KFBG
2026-07-23 02:15:00+00:00,0.0,KACZ
2026-07-23 02:35:00+00:00,0.0,KACZ
2026-07-23 02:55:00+00:00,0.0,KFBG
2026-07-23 03:15:00+00:00,0.0,KACZ
2026-07-23 03:35:00+00:00,0.0,KACZ
2026-07-23 03:55:00+00:00,0.0,KFBG
2026-07-23 04:15:00+00:00,0.0,KACZ
2026-07-23 04:35:00+00:00,0.0,KACZ
2026-07-23 04:55:00+00:00,0.0,KFBG
2026-07-23 05:15:00+00:00,0.0,KACZ
2026-07-23 05:35:00+00:00,0.0,KACZ
2026-07-23 05:55:00+00:00,0.0,KFBG
2026-07-23 06:15:00+00:00,0.0,KACZ
2026-07-23 06:35:00+00:00,0.0,KACZ
2026-07-23 06:55:00+00:00,0.0,KFBG
2026-07-23 07:15:00+00:00,0.0,KACZ
2026-07-23 07:35:00+00:00,0.0,KACZ
2026-07-23 07:55:00+00:00,0.0,KFBG
2026-07-23 08:15:00+00:00,0.0,KACZ
2026-07-23 08:35:00+00:00,0.0,KACZ
2026-07-23 08:55:00+00:00,0.0,KFBG
2026-07-23 09:15:00+00:00,0.0,KACZ
2026-07-23 09:35:00+00:00,0.0,KACZ
2026-07-23 09:55:00+00:00,0.0,KFBG
2026-07-23 10:15:00+00:00,0.0,KACZ
2026-07-23 10:35:00+00:00,0.0,KACZ
2026-07-23 10:55:00+00:00,0.0,KFBG
2026-07-23 11:15:00+00:00,0.0,KACZ
2026-07-23 11:30:00+00:00,0.0,KFBG
2026-07-23 11:35:00+00:00,0.0,KACZ
2026-07-23 11:55:00+00:00,0.0,KFBG
2026-07-23 12:15:00+00:00,0.0,KACZ
2026-07-23 12:35:00+00:00,0.0,KACZ
2026-07-23 12:50:00+00:00,0.0,KFBG
2026-07-23 12:55:00+00:00,0.0,KFBG
2026-07-23 13:02:00+00:00,0.0,KFBG
2026-07-23 13:15:00+00:00,0.0,KACZ
2026-07-23 13:17:00+00:00,0.0,KFBG
2026-07-23 13:35:00+00:00,0.0,KACZ
2026-07-23 13:55:00+00:00,0.0393700787401574,KFBG
2026-07-23 14:05:00+00:00,0.0,KFBG
2026-07-23 14:15:00+00:00,0.0,KACZ
2026-07-23 14:16:00+00:00,0.0,KFBG
2026-07-23 14:22:00+00:00,0.0,KFBG
2026-07-23 14:27:00+00:00,0.0,KFBG
2026-07-23 14:31:00+00:00,0.0,KFBG
2026-07-23 14:34:00+00:00,0.0,KFBG
2026-07-23 14:35:00+00:00,0.0,KACZ
2026-07-23 14:39:00+00:00,0.0,KFBG
2026-07-23 14:42:00+00:00,0.0,KFBG
2026-07-23 14:46:00+00:00,0.0,KFBG
2026-07-23 14:55:00+00:00,0.4015748031496063,KFBG
2026-07-23 15:00:00+00:00,0.0,KFBG
2026-07-23 15:10:00+00:00,0.0,KFBG
2026-07-23 15:15:00+00:00,0.0,KACZ
2026-07-23 15:30:00+00:00,0.0,KFBG
2026-07-23 15:35:00+00:00,0.0,KFBG
2026-07-23 15:45:00+00:00,0.0,KFBG
2026-07-23 15:55:00+00:00,0.0,KFBG
2026-07-23 16:04:00+00:00,0.0,KFBG
2026-07-23 16:09:00+00:00,0.0,KFBG
2026-07-23 16:14:00+00:00,0.0,KFBG
2026-07-23 16:15:00+00:00,0.0,KACZ
2026-07-23 16:16:00+00:00,0.0,KFBG
2026-07-23 16:21:00+00:00,0.0,KFBG
2026-07-23 16:29:00+00:00,0.0,KFBG
2026-07-23 16:35:00+00:00,0.0,KACZ
2026-07-23 16:47:00+00:00,0.0,KFBG
2026-07-23 16:50:00+00:00,0.0,KFBG
2026-07-23 16:55:00+00:00,0.5905511811023623,KFBG
2026-07-23 16:59:00+00:00,0.0,KFBG
2026-07-23 17:09:00+00:00,0.0,KFBG
2026-07-23 17:14:00+00:00,0.0,KFBG
2026-07-23 17:15:00+00:00,0.0,KACZ
2026-07-23 17:29:00+00:00,0.0,KFBG
2026-07-23 17:35:00+00:00,0.0118110236220472,KACZ
2026-07-23 17:47:00+00:00,0.0,KFBG
2026-07-23 17:52:00+00:00,0.0,KFBG
2026-07-23 17:55:00+00:00,0.0905511811023622,KFBG
2026-07-23 18:05:00+00:00,0.0,KFBG
2026-07-23 18:15:00+00:00,0.0,KFBG
2026-07-23 18:24:00+00:00,0.0,KFBG
2026-07-23 18:29:00+00:00,0.0,KFBG
2026-07-23 18:34:00+00:00,0.0,KFBG
2026-07-23 18:35:00+00:00,0.0984251968503937,KACZ
2026-07-23 18:44:00+00:00,0.0,KFBG
2026-07-23 18:49:00+00:00,0.0,KFBG
2026-07-23 18:55:00+00:00,0.0118110236220472,KFBG
2026-07-23 19:05:00+00:00,0.0,KFBG
2026-07-23 19:13:00+00:00,0.0,KFBG
2026-07-23 19:15:00+00:00,0.0314960629921259,KACZ
2026-07-23 19:35:00+00:00,0.0511811023622047,KACZ
2026-07-23 19:48:00+00:00,0.0,KFBG
2026-07-23 19:55:00+00:00,0.0708661417322834,KFBG
2026-07-23 20:05:00+00:00,0.0,KFBG
2026-07-23 20:15:00+00:00,0.0,KFBG
2026-07-23 20:22:00+00:00,0.0,KFBG
2026-07-23 20:27:00+00:00,0.0,KFBG
2026-07-23 20:35:00+00:00,0.0,KACZ
2026-07-23 20:42:00+00:00,0.0,KFBG
2026-07-23 20:44:00+00:00,0.0,KFBG
2026-07-23 20:55:00+00:00,0.1417322834645669,KFBG
2026-07-23 21:15:00+00:00,0.0,KACZ
2026-07-23 21:25:00+00:00,0.0,KFBG
2026-07-23 21:35:00+00:00,0.0,KFBG
2026-07-23 21:40:00+00:00,0.0,KFBG
2026-07-23 21:50:00+00:00,0.0,KFBG
2026-07-23 21:55:00+00:00,0.1614173228346456,KFBG
2026-07-23 22:05:00+00:00,0.0,KFBG
2026-07-23 22:15:00+00:00,0.0,KACZ
2026-07-23 22:28:00+00:00,0.0,KFBG
2026-07-23 22:35:00+00:00,0.0,KACZ
2026-07-23 22:55:00+00:00,0.0196850393700787,KFBG
2026-07-23 23:15:00+00:00,0.0,KFBG
2026-07-23 23:29:00+00:00,0.0,KFBG
2026-07-23 23:35:00+00:00,0.0984251968503937,KACZ
2026-07-23 23:41:00+00:00,0.0,KFBG
2026-07-23 23:55:00+00:00,0.0,KFBG
2026-07-23 23:56:00+00:00,0.0,KFBG
2026-07-23 23:57:00+00:00,0.0,KFBG
2026-07-24 00:15:00+00:00,0.0118110236220472,KACZ
2026-07-24 00:22:00+00:00,0.0,KFBG
2026-07-24 00:35:00+00:00,0.0118110236220472,KACZ
2026-07-24 00:55:00+00:00,0.0,KFBG
2026-07-24 01:15:00+00:00,0.0,KACZ
2026-07-24 01:33:00+00:00,0.0,KFBG
2026-07-24 01:35:00+00:00,0.0,KACZ
2026-07-24 01:38:00+00:00,0.0,KFBG
2026-07-24 01:55:00+00:00,0.0708661417322834,KFBG
2026-07-24 02:15:00+00:00,0.0,KACZ
2026-07-24 02:35:00+00:00,0.0,KACZ
2026-07-24 02:55:00+00:00,0.0393700787401574,KFBG
2026-07-24 03:15:00+00:00,0.0,KACZ
2026-07-24 03:35:00+00:00,0.0,KFBG
2026-07-24 03:55:00+00:00,0.0118110236220472,KFBG
2026-07-24 04:15:00+00:00,0.0,KACZ
2026-07-24 04:35:00+00:00,0.0118110236220472,KACZ
2026-07-24 04:50:00+00:00,0.0,KFBG
2026-07-24 04:52:00+00:00,0.0,KFBG
2026-07-24 04:55:00+00:00,0.0787401574803149,KFBG
2026-07-24 05:03:00+00:00,0.0,KFBG
2026-07-24 05:08:00+00:00,0.0,KFBG
2026-07-24 05:15:00+00:00,0.0,KACZ
2026-07-24 05:20:00+00:00,0.0,KFBG
2026-07-24 05:25:00+00:00,0.0,KFBG
2026-07-24 05:30:00+00:00,0.0,KFBG
2026-07-24 05:35:00+00:00,0.0,KFBG
2026-07-24 05:37:00+00:00,0.0,KFBG
2026-07-24 05:42:00+00:00,0.0,KFBG
2026-07-24 05:47:00+00:00,0.0,KFBG
2026-07-24 05:50:00+00:00,0.0,KFBG
2026-07-24 05:55:00+00:00,0.8110236220472442,KFBG
2026-07-24 06:00:00+00:00,0.0,KFBG
2026-07-24 06:05:00+00:00,0.0,KFBG
2026-07-24 06:15:00+00:00,0.0,KFBG
2026-07-24 06:35:00+00:00,0.0,KACZ
2026-07-24 06:45:00+00:00,0.0,KFBG
2026-07-24 06:50:00+00:00,0.0,KFBG
2026-07-24 06:55:00+00:00,0.0984251968503937,KFBG
2026-07-24 06:56:00+00:00,0.0,KFBG
2026-07-24 07:15:00+00:00,0.0,KACZ
2026-07-24 07:35:00+00:00,0.0,KACZ
2026-07-24 07:55:00+00:00,0.0,KFBG
2026-07-24 08:15:00+00:00,0.0,KFBG
2026-07-24 08:35:00+00:00,0.0708661417322834,KACZ
2026-07-24 08:45:00+00:00,0.0,KFBG
2026-07-24 08:55:00+00:00,0.0,KFBG
2026-07-24 09:15:00+00:00,0.0,KACZ
2026-07-24 09:20:00+00:00,0.0,KFBG
2026-07-24 09:35:00+00:00,0.0,KACZ
2026-07-24 09:43:00+00:00,0.0,KFBG
2026-07-24 09:55:00+00:00,0.0,KFBG
2026-07-24 09:56:00+00:00,0.0,KFBG
2026-07-24 09:58:00+00:00,0.0,KFBG
2026-07-24 10:00:00+00:00,0.0,KFBG
2026-07-24 10:05:00+00:00,0.0,KFBG
2026-07-24 10:06:00+00:00,0.0,KFBG
2026-07-24 10:15:00+00:00,0.0,KACZ
2026-07-24 10:35:00+00:00,0.0,KACZ
2026-07-24 11:15:00+00:00,0.0,KACZ
2026-07-24 11:35:00+00:00,0.0118110236220472,KACZ
2026-07-24 12:05:00+00:00,0.0,KFBG
2026-07-24 12:15:00+00:00,0.0,KFBG
2026-07-24 12:16:00+00:00,0.0,KFBG
2026-07-24 12:26:00+00:00,0.0,KFBG
2026-07-24 12:35:00+00:00,0.0,KACZ
2026-07-24 12:36:00+00:00,0.0,KFBG
2026-07-24 12:46:00+00:00,0.0,KFBG
2026-07-24 12:50:00+00:00,0.0,KFBG
2026-07-24 12:55:00+00:00,0.0511811023622047,KFBG
2026-07-24 13:10:00+00:00,0.0,KFBG
2026-07-24 13:11:00+00:00,0.0,KFBG
2026-07-24 13:15:00+00:00,0.0,KACZ
2026-07-24 13:35:00+00:00,0.0,KACZ
2026-07-24 13:41:00+00:00,0.0,KFBG
2026-07-24 13:42:00+00:00,0.0,KFBG
2026-07-24 13:55:00+00:00,0.0118110236220472,KFBG
2026-07-24 14:15:00+00:00,0.0,KACZ
2026-07-24 14:20:00+00:00,0.0,KFBG
2026-07-24 14:35:00+00:00,0.0,KACZ
2026-07-24 14:55:00+00:00,0.0,KFBG
2026-07-24 15:05:00+00:00,0.0,KFBG
2026-07-24 15:15:00+00:00,0.0,KFBG
2026-07-24 15:30:00+00:00,0.0,KFBG
2026-07-24 15:35:00+00:00,0.0,KACZ
2026-07-24 15:40:00+00:00,0.0,KFBG
2026-07-24 15:45:00+00:00,0.0,KFBG
2026-07-24 15:55:00+00:00,0.0,KFBG
2026-07-24 16:07:00+00:00,0.0,KFBG
2026-07-24 16:15:00+00:00,0.0,KACZ
2026-07-24 16:35:00+00:00,0.0,KACZ
2026-07-24 16:55:00+00:00,0.0314960629921259,KACZ
2026-07-24 17:15:00+00:00,0.0118110236220472,KACZ
2026-07-24 17:35:00+00:00,0.0,KACZ
2026-07-24 18:15:00+00:00,0.0,KACZ
2026-07-24 18:35:00+00:00,0.0,KACZ
2026-07-24 19:15:00+00:00,0.0,KACZ
2026-07-24 19:35:00+00:00,0.0,KACZ
2026-07-24 20:15:00+00:00,0.0,KACZ
2026-07-24 20:35:00+00:00,0.0,KACZ
2026-07-24 21:15:00+00:00,0.0,KACZ
