t,temperature_f,wind_direction,short_forecast,is_daytime,wind_speed_mph
2026-08-01 09:00:00+00:00,76,S,Mostly Clear,False,2.0
2026-08-01 10:00:00+00:00,77,S,Sunny,True,2.0
2026-08-01 11:00:00+00:00,77,S,Sunny,True,1.0
2026-08-01 12:00:00+00:00,78,S,Mostly Sunny,True,2.0
2026-08-01 13:00:00+00:00,81,S,Mostly Sunny,True,3.0
2026-08-01 14:00:00+00:00,84,SE,Mostly Sunny,True,5.0
2026-08-01 15:00:00+00:00,86,SE,Mostly Sunny,True,7.0
2026-08-01 16:00:00+00:00,88,SE,Mostly Sunny,True,7.0
2026-08-01 17:00:00+00:00,88,SE,Mostly Sunny,True,8.0
2026-08-01 18:00:00+00:00,88,SE,Partly Sunny,True,9.0
2026-08-01 19:00:00+00:00,88,SE,Partly Sunny,True,9.0
2026-08-01 20:00:00+00:00,88,SE,Partly Sunny,True,10.0
2026-08-01 21:00:00+00:00,88,SE,Partly Sunny,True,9.0
2026-08-01 22:00:00+00:00,87,SE,Mostly Cloudy,False,9.0
2026-08-01 23:00:00+00:00,86,SE,Mostly Cloudy,False,8.0
2026-08-02 00:00:00+00:00,84,SE,Mostly Cloudy,False,7.0
2026-08-02 01:00:00+00:00,83,SE,Mostly Cloudy,False,6.0
2026-08-02 02:00:00+00:00,81,S,Mostly Cloudy,False,6.0
2026-08-02 03:00:00+00:00,80,S,Mostly Cloudy,False,5.0
2026-08-02 04:00:00+00:00,80,S,Mostly Cloudy,False,5.0
2026-08-02 05:00:00+00:00,80,S,Mostly Cloudy,False,5.0
2026-08-02 06:00:00+00:00,80,S,Chance Showers And Thunderstorms,False,5.0
2026-08-02 07:00:00+00:00,79,S,Chance Showers And Thunderstorms,False,5.0
2026-08-02 08:00:00+00:00,79,S,Chance Showers And Thunderstorms,False,5.0
2026-08-02 09:00:00+00:00,78,S,Chance Showers And Thunderstorms,False,5.0
2026-08-02 10:00:00+00:00,79,S,Chance Showers And Thunderstorms,True,5.0
2026-08-02 11:00:00+00:00,79,S,Chance Showers And Thunderstorms,True,5.0
2026-08-02 12:00:00+00:00,80,S,Chance Showers And Thunderstorms,True,5.0
2026-08-02 13:00:00+00:00,82,S,Chance Showers And Thunderstorms,True,7.0
2026-08-02 14:00:00+00:00,84,S,Chance Showers And Thunderstorms,True,8.0
2026-08-02 15:00:00+00:00,86,S,Chance Showers And Thunderstorms,True,9.0
2026-08-02 16:00:00+00:00,86,S,Chance Showers And Thunderstorms,True,12.0
2026-08-02 17:00:00+00:00,86,S,Chance Showers And Thunderstorms,True,13.0
2026-08-02 18:00:00+00:00,86,S,Chance Showers And Thunderstorms,True,13.0
2026-08-02 19:00:00+00:00,87,S,Chance Showers And Thunderstorms,True,14.0
2026-08-02 20:00:00+00:00,87,S,Chance Showers And Thunderstorms,True,14.0
2026-08-02 21:00:00+00:00,87,S,Chance Showers And Thunderstorms,True,14.0
2026-08-02 22:00:00+00:00,86,S,Chance Showers And Thunderstorms,False,14.0
2026-08-02 23:00:00+00:00,84,S,Chance Showers And Thunderstorms,False,13.0
2026-08-03 00:00:00+00:00,83,S,Chance Showers And Thunderstorms,False,12.0
2026-08-03 01:00:00+00:00,82,SW,Chance Showers And Thunderstorms,False,10.0
2026-08-03 02:00:00+00:00,80,SW,Chance Showers And Thunderstorms,False,9.0
2026-08-03 03:00:00+00:00,79,SW,Chance Showers And Thunderstorms,False,9.0
2026-08-03 04:00:00+00:00,79,SW,Chance Showers And Thunderstorms,False,8.0
2026-08-03 05:00:00+00:00,79,SW,Chance Showers And Thunderstorms,False,8.0
2026-08-03 06:00:00+00:00,79,SW,Chance Showers And Thunderstorms,False,8.0
2026-08-03 07:00:00+00:00,79,SW,Chance Showers And Thunderstorms,False,7.0
2026-08-03 08:00:00+00:00,78,SW,Chance Showers And Thunderstorms,False,7.0
2026-08-03 09:00:00+00:00,78,SW,Chance Showers And Thunderstorms,False,7.0
2026-08-03 10:00:00+00:00,78,SW,Chance Showers And Thunderstorms,True,7.0
2026-08-03 11:00:00+00:00,78,SW,Chance Showers And Thunderstorms,True,7.0
2026-08-03 12:00:00+00:00,80,SW,Chance Showers And Thunderstorms,True,7.0
2026-08-03 13:00:00+00:00,81,SW,Chance Showers And Thunderstorms,True,7.0
2026-08-03 14:00:00+00:00,83,SW,Chance Showers And Thunderstorms,True,8.0
2026-08-03 15:00:00+00:00,85,SW,Chance Showers And Thunderstorms,True,9.0
2026-08-03 16:00:00+00:00,86,SW,Chance Showers And Thunderstorms,True,10.0
2026-08-03 17:00:00+00:00,86,SW,Chance Showers And Thunderstorms,True,12.0
2026-08-03 18:00:00+00:00,86,SW,Chance Showers And Thunderstorms,True,12.0
2026-08-03 19:00:00+00:00,87,SW,Chance Showers And Thunderstorms,True,12.0
2026-08-03 20:00:00+00:00,88,SW,Chance Showers And Thunderstorms,True,12.0
2026-08-03 21:00:00+00:00,88,SW,Chance Showers And Thunderstorms,True,12.0
2026-08-03 22:00:00+00:00,86,SW,Chance Showers And Thunderstorms,False,9.0
2026-08-03 23:00:00+00:00,85,SW,Chance Showers And Thunderstorms,False,8.0
2026-08-04 00:00:00+00:00,83,SW,Chance Showers And Thunderstorms,False,7.0
2026-08-04 01:00:00+00:00,82,SW,Chance Showers And Thunderstorms,False,6.0
2026-08-04 02:00:00+00:00,80,SW,Chance Showers And Thunderstorms,False,5.0
2026-08-04 03:00:00+00:00,80,SW,Chance Showers And Thunderstorms,False,5.0
2026-08-04 04:00:00+00:00,79,SW,Chance Showers And Thunderstorms,False,5.0
2026-08-04 05:00:00+00:00,79,SW,Chance Showers And Thunderstorms,False,5.0
2026-08-04 06:00:00+00:00,78,SW,Chance Showers And Thunderstorms,False,6.0
2026-08-04 07:00:00+00:00,78,SW,Chance Showers And Thunderstorms,False,6.0
2026-08-04 08:00:00+00:00,78,SW,Chance Showers And Thunderstorms,False,6.0
2026-08-04 09:00:00+00:00,78,SW,Chance Showers And Thunderstorms,False,6.0
