t,predicted,is_forecast
2026-07-28 22:50:10+00:00,4.05,False
2026-07-28 23:50:10+00:00,4.499,True
2026-07-29 00:50:10+00:00,4.555,True
2026-07-29 01:50:10+00:00,4.094,True
2026-07-29 02:50:10+00:00,3.27,True
2026-07-29 03:50:10+00:00,2.311,True
2026-07-29 04:50:10+00:00,1.409,True
2026-07-29 05:50:10+00:00,0.741,True
2026-07-29 06:50:10+00:00,0.486,True
2026-07-29 07:50:10+00:00,0.729,True
2026-07-29 08:50:10+00:00,1.367,True
2026-07-29 09:50:10+00:00,2.166,True
2026-07-29 10:50:10+00:00,2.903,True
